"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"CDH12",3.53925928992239,4.25909482948771,2.99905648475329,3.15500421956984,3.05062248035686,3.26196751265609,4.42926320858517,3.42347582918088,7.03958972384557,7.63266297272765,4.81141650199769,3.42347582918088,3.38410798630705,3.77689013004656,3.75699205856092,3.33422627522074,5.09459801968339,4.59727766489164,6.42190237737482,5.29827269131953,5.98478377983382,4.68552350813559
"RASA3",3.53126264118669,4.65735432044777,3.82172786702492,8.08736368650473,7.29903988103189,8.36127125710038,4.67661868442262,6.17450474092676,6.33285580069337,6.12862172010773,7.74005388803771,6.05161365721467,6.55985133414101,4.48313410451633,3.94777319836596,6.86963063018447,4.19369056862549,3.73580886062177,4.03316941469565,4.3290045309964,4.78996376257886,4.35236952181989
"ARHGAP22",5.15524588316808,5.623893171371,4.63421674386338,5.52400407809828,6.18706604874568,4.56262318866886,4.04024899595118,4.72299421373162,5.06900642778017,3.75430670265352,6.38245171470843,4.82774996409916,5.80240008509565,7.46317641212076,8.46185677340057,8.09797446457166,8.32541525585885,11.5443516420335,5.57736302876454,5.74269266793324,6.36876995204514,4.42023717633443
"PKD2L2",3.42046920126007,2.95915489076419,4.69026004052125,4.31508373001339,5.72964509916643,3.63953680372894,4.59228796802141,2.81543024606574,5.59622974933335,5.6052158402818,3.58240291868651,3.15771703296373,3.84765297916296,3.4414966850156,3.78064456811951,4.4000924000133,2.78353546903671,3.95499096526878,7.33858912079091,5.62412041212408,8.02763657050129,5.99009901811452
"IL7",7.97684924509519,9.2584521363346,5.3607379416526,5.41208308343354,5.1581359197544,6.13452882452871,4.96926203382503,6.11661343379046,5.4645662283309,4.82752734518755,4.68713399845948,4.76704318464974,5.71133870167671,6.56229542297807,7.07132614747964,6.32554527885409,6.12682524722281,7.17499172347462,5.82248916180686,4.70210862703661,4.25790710209935,3.99021680480918
"GRAP2",3.76840553199844,4.00018307179479,3.65933133128223,8.13915947497459,8.32152549343846,8.07800105275484,7.25700803387813,7.6601186450408,7.57599808173053,7.39036000711453,7.65652422882873,8.26798433083963,3.68089801677362,3.38433074153573,4.0869757179053,4.40107415316673,3.16567471898998,3.47443644821924,7.88194983965752,7.14090291930746,3.87581225210542,3.56750907438035
"GZMM",2.86896614488356,4.12559097929967,3.73404700419405,10.0361589862996,10.2485600866861,9.78955451694875,9.05021019048923,10.0101303819365,9.3332504641711,9.80538401687559,11.8812250052896,11.3539115522682,3.82845981175401,4.20937910937398,4.92509166503964,3.50243852099518,3.49944753858545,4.44299459818689,3.52425214685766,5.04438097459803,7.11408027227004,6.06235307926097
"HNMT",5.97122214616298,5.81955879430342,4.88495556051288,4.36587886207778,3.581076284513,3.59306960498483,5.03169220630442,3.32086191640793,4.67816676990008,6.33220933585568,4.80286207782503,3.86638429061172,9.67317920843365,9.59978162849789,7.34254750816186,9.89153842557905,9.3155435804829,8.12983347680595,7.05264077058243,6.94825753002302,4.7501998427938,4.95246803176937
"GPR19",4.80866159321722,5.21270590790624,6.30503578637449,5.37894394631335,6.2159107811654,6.18706604874568,8.54712378079687,8.40074694469591,8.63974823785366,4.94330361211123,5.43812447864418,6.05864841668484,4.37934532594378,4.36933435688698,3.53126264118669,3.5851008797973,4.38286795321303,3.97701121461688,4.19842255537083,4.08831944591115,7.90069506030633,5.67205314823369
"SLAMF1",9.57560563593941,9.01258879282445,9.99543850397329,8.95832568435648,8.81645849706319,10.0801860578218,10.9704129937456,10.0713876770208,10.5563578096613,9.49515996903085,6.8470489461669,6.86566857852274,6.8190157822893,7.05212580215903,12.5648437997364,9.72537735083998,6.99368783997322,9.64839677442292,5.88401208105903,7.30886352146084,7.93653712112825,8.0326416146569
